media_name,item_update,region_name,region_code,media,legal_name,address,registration_details,cif_id,phone_number,email,general_director,staff_director,account_holder,indirect_owner,importe_neto_fondos,importe_neto_publicidad,url
Empordà,29/07/2025,Cataluña,CA,emporda,"EDITORIAL L'EMPORDA, S.L.U.","calle Pere III, 62 - 17600 Figueres","Registro Mercantil de Girona, Tomo 142, Folio 199, Hoja GI-2.586",,972 510 715,redaccio@emporda.info,,Marc Verdaguer i Font,D. Francisco Javier Moll De Miguel y Dª. María Aránzazu Sarasola Ormazábal," Prensa Ibérica Media, S.L.","  206.107,00 € ",0 €,https://www.emporda.info/
Regio 7,29/07/2025,Cataluña,CA,regio7,"EDICIONS INTERCOMARCALS, S.A.","Sant Antoni Maria Claret, 32. 08243. Manresa","Registre Mercantil de Barcelona, Tom 44418, Llibre 3109, Secció 2ª, Foli 23, Full B-6920",, 938 772 233,regio7@regio7.cat,,Josep Lluís Micó,D. Francisco Javier Moll De Miguel y Dª. María Aránzazu Sarasola Ormazábal," Prensa Ibérica Media, S.L.","  604.859,00 € ",0 €,https://www.regio7.cat/
Sport,28/07/2025,Cataluña,CA,sport,"EDICIONES DEPORTIVAS CATALANAS, S.A.U.","Av. Gran Via de l’Hospitalet, 163-167. L’Hospitalet de Llobregat (Barcelona)","Registro Mercantil de Barcelona, Tomo 4.347, Folio 163, Hoja B-46.057",,932 655 353 – 915 869 700,redaccion@diariosport.com,,Joan Vehils i Guasch,D. Francisco Javier Moll De Miguel y Dª. María Aránzazu Sarasola Ormazábal," Prensa Ibérica Media, S.L.","  1.416.496,00 € ",0 €,https://www.sport.es/es/
El Periódico de España,28/07/2025,Comunidad de Madrid,MAD,elperiodicodeespana,"UNIDAD DE MEDIOS ESCRITOS, S.A.U.","Calle de Pedro Muñoz Seca, 4 Madrid","Registro Mercantil de Madrid, Tomo 32.519, Folio 44, Sección 8, Hoja M-585312, Inscripción 1ª",, 914 363 770,informacion@pi360.es,,Armando Huerta ,D. Francisco Javier Moll De Miguel y Dª. María Aránzazu Sarasola Ormazábal," Prensa Ibérica Media, S.L.","  740.701,00 € ","  100.464,00 € ",https://www.epe.es/es/
El Periódico del Mediterráneo,28/07/2025,Comunidad Valenciana,VC,elperiodicomediterraneo,"PROMOCIONES Y EDICIONES CULTURALES, S.A.","Carretera de Almanssora, s/n, Castellón","Registro Mercantil de Castellón, Tomo 529, Libro 96, Folio 92, Hoja CS-2.659",,964 349 500,,,Ángel Báez Calvo,D. Francisco Javier Moll De Miguel y Dª. María Aránzazu Sarasola Ormazábal," Prensa Ibérica Media, S.L.","  1.697.543,00 € ",0 €,https://www.elperiodicomediterraneo.com/
Información,28/07/2025,Comunidad Valenciana,VC,informacion,"EDITORIAL PRENSA ALICANTINA, S.A.U.","Avda. del Doctor Rico, 17. 03005. ALICANTE","Registro Mercantil de Alciante, Tomo 1864, Folio 44, Hoja A-35440, Inscripción 2ª",,965 989 100,,,Toni Cabot,D. Francisco Javier Moll De Miguel y Dª. María Aránzazu Sarasola Ormazábal," Prensa Ibérica Media, S.L.","  1.465.780,00 € ",0 €,https://www.informacion.es/
Levante-El Mercantil Valenciano,28/07/2025,Comunidad Valenciana,VC,levanteemv,"EDITORIAL PRENSA VALENCIANA, S.A.U.","Traginers, 7. 46014. Valencia","Registro Mercantil de Valencia, Inscripción RMV, Tomo 1151, general, 723 de la Sección 3° del Libro de Sociedades, Folio 120, Hoja n° 7307, Inscripción 1ª",,96 399 23 43,levante-emv@epi.es,,Joan-Carles Martí,D. Francisco Javier Moll De Miguel y Dª. María Aránzazu Sarasola Ormazábal," Prensa Ibérica Media, S.L.","  2.314.435,00 € ",0 €,https://www.levante-emv.com/
Superdeporte,28/07/2025,Comunidad Valenciana,VC,superdeporte,"SUPERDEPORTE EMPRESA EDITORIAL, S.A.U.","Traginers, 7. 46014. Valencia","Registro Mercantil de Valencia, Tomo 4302, Hoja V-21702, Folio 19",,963 371 818,superdeporte@epi.es,,Pablo Leiva,D. Francisco Javier Moll De Miguel y Dª. María Aránzazu Sarasola Ormazábal," Prensa Ibérica Media, S.L.","  129.355,00 € ",0 €,https://www.superdeporte.es/
El Periódico de Extremadura,28/07/2025,Extremadura,EX,elperiodicoextremadura,"EDITORIAL EXTREMADURA, S.A.","Calle Doctor Marañón, 2 local 7, Cáceres","Registro Mercantil de Cáceres, Tomo 183, Folio 150, Hoja CC-190",, 927 620 600,avillar@elperiodico.com,,Marisol López del Estal,D. Francisco Javier Moll De Miguel y Dª. María Aránzazu Sarasola Ormazábal," Prensa Ibérica Media, S.L.","  827.497,00 € ",0 €,https://www.elperiodicoextremadura.com/
La Crónica de Badajoz,28/07/2025,Extremadura,EX,lacronicabadajoz,"EDITORIAL EXTREMADURA, S.A.","Plaza de España, 5, 06.002- Badajoz","Registro Mercantil de Cáceres, Tomo 183, Folio 150, Hoja CC-190",,924 22 35 15,lcb@elperiodico.com,,Ascensión Martínez Romasanta,D. Francisco Javier Moll De Miguel y Dª. María Aránzazu Sarasola Ormazábal," Prensa Ibérica Media, S.L.","  299.096,00 € ",0 €,
El Correo Gallego,28/07/2025,Galicia,GAL,elcorreogallego,"EPI PRENSA, S.L.U.","Rua Restollal, 32 – 5º planta oficina 502,  Santiago de Compostela","Registro Mercantil de Santiago de Compostela, Hoja SC-52459 Tomo 447 Folio 86",,981 217 404 ,info@elcorreogallego.es,,Xaime Leiro ,D. Francisco Javier Moll De Miguel y Dª. María Aránzazu Sarasola Ormazábal," Prensa Ibérica Media, S.L.","  1.434.930,00 € ",0 €,https://www.elcorreogallego.es/
Faro de Vigo,28/07/2025,Galicia,GAL,farodevigo,"FARO DE VIGO, S.A.U.","Calle Policarpo Sanz, 22, bajos - 36202 Vigo","Registro Mercantil de Pontevedra, Folio 63, Libro 64 de la sociedad, H-797, Inscripción 15",,986 814 600,contacto@farodevigomedia.es,,Rogelio Garrido,D. Francisco Javier Moll De Miguel y Dª. María Aránzazu Sarasola Ormazábal," Prensa Ibérica Media, S.L.","  4.071.636,00 € ",0 €,https://www.farodevigo.es/
La Opinión A Coruña,28/07/2025,Galicia,GAL,laopinioncoruna,"LA OPINION DE LA CORUÑA, S.L.U.","Calle Fonseca 6, planta 1 - 15004 La Coruña","Registro Mercantil de A Coruña, Tomo 2294, Folio 83, Hoja C-23.781",,981. 217 400,digital@laopinioncoruna.com,,Daniel Domínguez,D. Francisco Javier Moll De Miguel y Dª. María Aránzazu Sarasola Ormazábal," Prensa Ibérica Media, S.L.","  1.019.723,00 € ",0 €,https://www.laopinioncoruna.es/
Diario de Ibiza,28/07/2025,Islas Baleares,IB,diariodeibiza,"DIARIO DE IBIZA, S.A.U.",Avda. de la Paz (esquina C/ Aubarca). 07800. IBIZA,"Registro Mercantil de Ibiza, Folio 154, Tomo 15, Libro 15, Hoja IB-696.",,971 190 000,diariodeibiza@epi.es,,Cristina Martín Vega,D. Francisco Javier Moll De Miguel y Dª. María Aránzazu Sarasola Ormazábal," Prensa Ibérica Media, S.L.","  1.045.208,00 € ",0 €,https://www.diariodeibiza.es/
Diario de Mallorca,28/07/2025,Islas Baleares,IB,diariodemallorca,"EDITORA BALEAR, S.A.","C/ Puerto Rico,15 (Polígono de Levante). 07006. Palma de Mallorca","Registro Mercantil de Palma de Mallorca, Tomo 92, Libro 37, Sección 3° sociedades, Folio 92, H-2084",,971 170 300,cartas.diariodemallorca@epi.es,,Marisa Goñi,D. Francisco Javier Moll De Miguel y Dª. María Aránzazu Sarasola Ormazábal," Prensa Ibérica Media, S.L.","  1.205.303,00 € ",0 €,https://www.diariodemallorca.es/
Mallorca Zeitung,28/07/2025,Islas Baleares,IB,mallorcazeitung,"EDITORIAL PANEUROPE, S.L.U.","Puerto Rico, 15 (Polígono de Levante) 07006 Palma de Mallorca","Registro Mercantil de Palma de Mallorca, Tomo 1.698, Folio 134, Sección 8ª, Hoja nº PM-33.716, Inscripción 2ª",, 971 170 500,,,Ciro Krauthausen,D. Francisco Javier Moll De Miguel y Dª. María Aránzazu Sarasola Ormazábal," Prensa Ibérica Media, S.L.","  31.813,00 € ",0 €,https://www.mallorcazeitung.es/
La Opinión de Murcia,28/07/2025,Región de Murcia,MUR,laopiniondemurcia,"LA OPINION DE MURCIA, S.A.U.","Plaza de Castilla, 3. 30009. Murcia","Registro Mercantil de Murcia, Tomo 1418, Libro 0, Folio 110, Sección 8ª, Hoja MU-25864, Inscripción 2ª",,968 286 568,,,José Alberto Pardo Lidón,D. Francisco Javier Moll De Miguel y Dª. María Aránzazu Sarasola Ormazábal," Prensa Ibérica Media, S.L.","  913.043,00 € ",0 €,https://www.laopiniondemurcia.es/
